case_id,CTR_SIZE,GROSS,YARD_SLOT,n_events,n_unique_activities,n_unique_roles,hours_atb_to_discharge,flag_quarantine,flag_customs,flag_damage,dwell_hours,CTR_TYPE_DRY,CTR_TYPE_FLT,CTR_TYPE_O/T,CTR_TYPE_OVD,CTR_TYPE_RFR,CTR_TYPE_TNK,JOB_DEL_DOCTYPE_BC23,JOB_DEL_DOCTYPE_BCF26,JOB_DEL_DOCTYPE_LAIN2,JOB_DEL_DOCTYPE_LELANG,JOB_DEL_DOCTYPE_NNMITA,JOB_DEL_DOCTYPE_PLP,JOB_DEL_DOCTYPE_SPPB,JOB_DEL_DOCTYPE_TMBLU,YARD_BLOCK_enc
AMFU3187835-2021-08-19,20.0,23.54,107.0,4,4,4,15.161421666666667,0,0,0,22.120833333333334,True,False,False,False,False,False,False,False,False,False,False,False,True,False,8
AMFU3189680-2021-08-28,20.0,30.2,91.0,4,4,4,15.992840833333332,0,0,0,138.55305555555555,True,False,False,False,False,False,False,False,False,False,False,False,True,False,11
AMFU3190103-2021-07-24,20.0,29.1,37.0,4,4,4,9.982338333333333,0,0,0,128.43333333333334,True,False,False,False,False,False,False,False,False,False,False,False,True,False,9
AMFU3197617-2021-06-21,20.0,8.75,57.0,3,3,3,5.801775833333333,0,0,0,716.35,True,False,False,False,False,False,False,False,False,False,False,False,True,False,10
AMFU3197767-2021-08-09,20.0,22.9,99.0,4,4,4,4.785177222222222,1,0,0,120.06444444444445,True,False,False,False,False,False,False,False,False,False,False,False,True,False,10
AMFU3201234-2021-07-24,20.0,29.8,67.0,4,4,4,9.638319722222223,0,0,0,29.833333333333332,True,False,False,False,False,False,False,False,False,False,False,False,True,False,10
AMFU3202800-2021-09-19,20.0,6083.0,121.0,4,4,4,4.484124722222222,0,0,0,52.810833333333335,True,False,False,False,False,False,False,False,False,False,False,False,True,False,12
AMFU3203181-2021-08-31,20.0,22.28,51.0,5,5,5,7.527133888888889,0,0,0,8.710833333333333,True,False,False,False,False,False,False,False,False,False,False,False,True,False,10
AMFU3204660-2021-09-17,20.0,29727.0,69.0,4,4,4,9.19716361111111,0,0,0,5.721111111111111,True,False,False,False,False,False,False,False,False,False,False,False,True,False,16
AMFU3207504-2021-09-23,20.0,29.1,5.0,4,4,4,8.500252777777778,0,0,0,11.349166666666667,True,False,False,False,False,False,False,False,False,False,False,False,True,False,14
